time	IOSD
1980-01-01	-0.50084865
1980-02-01	-0.76215124
1980-03-01	-0.43188456
1980-04-01	0.1381545
1980-05-01	0.55933607
1980-06-01	0.52220255
1980-07-01	0.96105987
1980-08-01	0.46289533
1980-09-01	0.4038718
1980-10-01	1.0025476
1980-11-01	0.8695322
1980-12-01	1.0676311
1981-01-01	1.7067806
1981-02-01	1.9431864
1981-03-01	1.0684221
1981-04-01	1.0471069
1981-05-01	-0.3048337
1981-06-01	0.015685469
1981-07-01	-0.022964686
1981-08-01	0.33963168
1981-09-01	0.16630998
1981-10-01	-0.05862078
1981-11-01	0.7264857
1981-12-01	0.8596648
1982-01-01	1.3335766
1982-02-01	1.3291057
1982-03-01	1.9108877
1982-04-01	1.3264513
1982-05-01	0.4843411
1982-06-01	0.968507
1982-07-01	1.0434195
1982-08-01	1.0031803
1982-09-01	0.97572225
1982-10-01	0.7409452
1982-11-01	-0.054230303
1982-12-01	-0.5287286
1983-01-01	-1.4289384
1983-02-01	-0.90880543
1983-03-01	-0.14609873
1983-04-01	-0.14523585
1983-05-01	-0.34486377
1983-06-01	0.7483638
1983-07-01	0.7021491
1983-08-01	0.48017293
1983-09-01	0.04633595
1983-10-01	-0.13936548
1983-11-01	0.0008683428
1983-12-01	-0.45514384
1984-01-01	-0.31299263
1984-02-01	-0.9533304
1984-03-01	-0.8129463
1984-04-01	-1.1934354
1984-05-01	-0.0914346
1984-06-01	0.07734198
1984-07-01	-0.4025057
1984-08-01	0.19300619
1984-09-01	-0.43252894
1984-10-01	-0.22517872
1984-11-01	0.012407735
1984-12-01	0.7817265
1985-01-01	0.027148217
1985-02-01	-0.5666944
1985-03-01	-0.5557551
1985-04-01	0.27719274
1985-05-01	-0.16894376
1985-06-01	-0.15249625
1985-07-01	-0.029987618
1985-08-01	0.6890122
1985-09-01	0.30384064
1985-10-01	0.49867842
1985-11-01	0.4268729
1985-12-01	-0.49890545
1986-01-01	0.12585258
1986-02-01	0.22574247
1986-03-01	0.8888457
1986-04-01	0.5747156
1986-05-01	0.61537313
1986-06-01	0.13703215
1986-07-01	0.12578517
1986-08-01	0.363195
1986-09-01	0.314907
1986-10-01	0.41581607
1986-11-01	-0.42981356
1986-12-01	0.3468315
1987-01-01	0.28464365
1987-02-01	-0.08934885
1987-03-01	0.0070608705
1987-04-01	0.22402233
1987-05-01	0.55580044
1987-06-01	0.2166999
1987-07-01	0.4459128
1987-08-01	0.6482452
1987-09-01	0.5689528
1987-10-01	0.6634059
1987-11-01	0.6325488
1987-12-01	1.0227011
1988-01-01	0.77162045
1988-02-01	-0.47196692
1988-03-01	-1.1702087
1988-04-01	-0.22468683
1988-05-01	0.20868452
1988-06-01	0.4797129
1988-07-01	0.27012926
1988-08-01	0.5183971
1988-09-01	-0.20385219
1988-10-01	-0.5260903
1988-11-01	0.21877636
1988-12-01	0.395787
1989-01-01	0.7601762
1989-02-01	-0.00630641
1989-03-01	-0.598729
1989-04-01	-0.31551906
1989-05-01	-0.12910286
1989-06-01	0.21468306
1989-07-01	0.714321
1989-08-01	0.9660277
1989-09-01	0.18009958
1989-10-01	0.9884301
1989-11-01	0.22673054
1989-12-01	-0.21218187
1990-01-01	0.40353927
1990-02-01	-0.51533395
1990-03-01	-0.13766691
1990-04-01	-0.017007917
1990-05-01	-0.10508898
1990-06-01	0.61245584
1990-07-01	0.10865692
1990-08-01	0.48893592
1990-09-01	0.8876494
1990-10-01	1.0958121
1990-11-01	0.25267476
1990-12-01	-0.17156541
1991-01-01	-0.16748871
1991-02-01	-0.0060587227
1991-03-01	-0.12023691
1991-04-01	-0.21408564
1991-05-01	0.25401157
1991-06-01	-0.1539098
1991-07-01	-0.06579642
1991-08-01	0.005576536
1991-09-01	0.20890744
1991-10-01	0.19451177
1991-11-01	-0.08268741
1991-12-01	-0.16926825
1992-01-01	0.01171881
1992-02-01	-0.3259198
1992-03-01	-0.5454527
1992-04-01	-0.7622163
1992-05-01	0.15464741
1992-06-01	0.31976664
1992-07-01	0.32762825
1992-08-01	0.5266475
1992-09-01	0.4682128
1992-10-01	1.0145407
1992-11-01	1.2961999
1992-12-01	1.4203651
1993-01-01	1.1806101
1993-02-01	0.4392486
1993-03-01	-0.082876205
1993-04-01	0.3449976
1993-05-01	0.8126132
1993-06-01	0.92481315
1993-07-01	0.20963275
1993-08-01	0.05073368
1993-09-01	0.46952346
1993-10-01	0.07301608
1993-11-01	-0.037498653
1993-12-01	0.7929778
1994-01-01	0.1357671
1994-02-01	0.19626713
1994-03-01	0.13225347
1994-04-01	-0.76037174
1994-05-01	-0.6226384
1994-06-01	0.028991938
1994-07-01	0.1803935
1994-08-01	-0.11760981
1994-09-01	-0.56296885
1994-10-01	-0.63762593
1994-11-01	-0.83687013
1994-12-01	-0.44853365
1995-01-01	-0.44486684
1995-02-01	-0.29818383
1995-03-01	-0.99452186
1995-04-01	-1.0454823
1995-05-01	-0.931734
1995-06-01	-0.24518952
1995-07-01	0.5827813
1995-08-01	0.19844288
1995-09-01	0.4829534
1995-10-01	0.62767816
1995-11-01	0.40206736
1995-12-01	0.0040674806
1996-01-01	0.25877994
1996-02-01	-1.0434968
1996-03-01	-1.0498774
1996-04-01	-0.6292342
1996-05-01	-0.32346892
1996-06-01	-0.14454944
1996-07-01	-0.12273744
1996-08-01	0.0904583
1996-09-01	0.23117863
1996-10-01	-0.06636919
1996-11-01	0.031077936
1996-12-01	-0.4695155
1997-01-01	-0.18501058
1997-02-01	0.9072691
1997-03-01	0.8758428
1997-04-01	-0.012768894
1997-05-01	0.043400317
1997-06-01	0.2054256
1997-07-01	0.15860295
1997-08-01	0.28624526
1997-09-01	-0.36092976
1997-10-01	-1.0971408
1997-11-01	-1.6651218
1997-12-01	-2.1307483
1998-01-01	-1.3535314
1998-02-01	-0.95837533
1998-03-01	-1.5069685
1998-04-01	-1.1012328
1998-05-01	-0.5452914
1998-06-01	-0.11794208
1998-07-01	-0.06974748
1998-08-01	-0.14359245
1998-09-01	0.06072086
1998-10-01	0.05379206
1998-11-01	0.44286224
1998-12-01	1.3815033
1999-01-01	1.2753417
1999-02-01	1.426999
1999-03-01	0.70187914
1999-04-01	0.3000836
1999-05-01	0.21744765
1999-06-01	0.41207075
1999-07-01	0.3469605
1999-08-01	0.554621
1999-09-01	0.11250988
1999-10-01	-0.21975264
1999-11-01	-0.17788832
1999-12-01	-0.7322782
2000-01-01	-1.3300375
2000-02-01	-0.5113419
2000-03-01	0.6856167
2000-04-01	1.1329362
2000-05-01	0.73007
2000-06-01	0.3101615
2000-07-01	0.165865
2000-08-01	-0.06419176
2000-09-01	-0.26396447
2000-10-01	-0.057094384
2000-11-01	-0.028769836
2000-12-01	0.16428143
2001-01-01	0.34205925
2001-02-01	0.9017688
2001-03-01	1.6844989
2001-04-01	0.73463494
2001-05-01	0.3702699
2001-06-01	-0.1611499
2001-07-01	-0.3959879
2001-08-01	-0.094954744
2001-09-01	0.1585285
2001-10-01	0.09978355
2001-11-01	-0.18361926
2001-12-01	-0.71230143
2002-01-01	-1.1813353
2002-02-01	-0.58669484
2002-03-01	-0.5784289
2002-04-01	-1.0041792
2002-05-01	-0.66086173
2002-06-01	-0.8040961
2002-07-01	-0.31365666
2002-08-01	0.17638728
2002-09-01	0.29584587
2002-10-01	0.32126093
2002-11-01	-0.044449262
2002-12-01	-1.0975631
2003-01-01	-0.94584846
2003-02-01	-0.62285256
2003-03-01	-0.20112182
2003-04-01	0.020116225
2003-05-01	0.13981132
2003-06-01	-0.16497524
2003-07-01	-0.6978519
2003-08-01	-0.429911
2003-09-01	-0.16050878
2003-10-01	0.09512174
2003-11-01	0.4003182
2003-12-01	0.38595006
2004-01-01	0.0877586
2004-02-01	-0.4218479
2004-03-01	0.13804495
2004-04-01	0.5137548
2004-05-01	-0.026699618
2004-06-01	-0.14011246
2004-07-01	0.40321106
2004-08-01	0.6889744
2004-09-01	0.80769753
2004-10-01	0.48386434
2004-11-01	0.7789805
2004-12-01	0.30613643
2005-01-01	0.45094764
2005-02-01	0.12681717
2005-03-01	-0.37132782
2005-04-01	-0.35362357
2005-05-01	-0.097514994
2005-06-01	0.03693831
2005-07-01	0.0976792
2005-08-01	0.1914327
2005-09-01	0.07405618
2005-10-01	0.37483102
2005-11-01	0.12279746
2005-12-01	0.3949386
2006-01-01	1.0151066
2006-02-01	1.4865482
2006-03-01	1.4818339
2006-04-01	1.2958055
2006-05-01	0.91277957
2006-06-01	0.6747463
