time	NIN03
1980-01-01	0.37369433
1980-02-01	0.02512031
1980-03-01	-0.17468986
1980-04-01	-0.19556366
1980-05-01	-0.15122755
1980-06-01	0.07827938
1980-07-01	-0.23734753
1980-08-01	-0.3396266
1980-09-01	-0.18251039
1980-10-01	-0.42388856
1980-11-01	-0.10709743
1980-12-01	-0.005935583
1981-01-01	-0.7122155
1981-02-01	-0.8860531
1981-03-01	-0.590639
1981-04-01	-0.5238341
1981-05-01	-0.5448379
1981-06-01	-0.43557227
1981-07-01	-0.60412
1981-08-01	-0.74051005
1981-09-01	-0.24581434
1981-10-01	-0.19286604
1981-11-01	-0.41217938
1981-12-01	-0.06362369
1982-01-01	0.18665868
1982-02-01	-0.018099472
1982-03-01	-0.11283742
1982-04-01	-0.01620785
1982-05-01	0.388037
1982-06-01	0.537417
1982-07-01	0.41727385
1982-08-01	0.94286835
1982-09-01	1.8714643
1982-10-01	2.2762885
1982-11-01	2.3957536
1982-12-01	2.8358233
1983-01-01	2.9708145
1983-02-01	2.2832756
1983-03-01	1.6736242
1983-04-01	1.5480225
1983-05-01	1.7282805
1983-06-01	1.536434
1983-07-01	0.8242559
1983-08-01	0.65872747
1983-09-01	0.12506449
1983-10-01	-0.6031351
1983-11-01	-1.0207722
1983-12-01	-0.831895
1984-01-01	-0.5818593
1984-02-01	-0.16373159
1984-03-01	-0.2419692
1984-04-01	-0.49142787
1984-05-01	-0.93062943
1984-06-01	-1.1705751
1984-07-01	-0.780745
1984-08-01	-0.4146007
1984-09-01	-0.34114367
1984-10-01	-0.6800918
1984-11-01	-0.9907129
1984-12-01	-1.2622509
1985-01-01	-1.2556375
1985-02-01	-0.91480684
1985-03-01	-0.79482174
1985-04-01	-1.0596949
1985-05-01	-1.0773702
1985-06-01	-1.0221101
1985-07-01	-1.1031373
1985-08-01	-0.88251716
1985-09-01	-0.8632763
1985-10-01	-0.8016181
1985-11-01	-0.70122486
1985-12-01	-0.7242012
1986-01-01	-0.7908937
1986-02-01	-0.5255496
1986-03-01	-0.37670523
1986-04-01	-0.3823754
