time	NINO34
1980-01-01	0.53581285
1980-02-01	0.216384
1980-03-01	0.021496963
1980-04-01	-0.066510305
1980-05-01	0.07991286
1980-06-01	0.2101086
1980-07-01	-0.062182132
1980-08-01	-0.37819412
1980-09-01	-0.27673194
1980-10-01	-0.2561287
1980-11-01	-0.10133316
1980-12-01	0.044941388
1981-01-01	-0.36353615
1981-02-01	-0.63982594
1981-03-01	-0.6353347
1981-04-01	-0.52880144
1981-05-01	-0.57415384
1981-06-01	-0.46307656
1981-07-01	-0.64205664
1981-08-01	-0.53502196
1981-09-01	-0.1963781
1981-10-01	-0.3004259
1981-11-01	-0.41046366
1981-12-01	-0.19880904
1982-01-01	0.12625477
1982-02-01	-0.16412616
1982-03-01	0.12850048
1982-04-01	0.20850208
1982-05-01	0.45036334
1982-06-01	0.5274833
1982-07-01	0.36506423
1982-08-01	0.7203073
1982-09-01	1.4870081
1982-10-01	1.9760423
1982-11-01	1.9104283
1982-12-01	2.1884928
1983-01-01	2.3312213
1983-02-01	1.9245423
1983-03-01	1.3704048
1983-04-01	0.94832736
1983-05-01	0.90364367
1983-06-01	0.5482223
1983-07-01	-0.10269266
1983-08-01	-0.25838184
1983-09-01	-0.51375526
1983-10-01	-1.1464783
1983-11-01	-1.2833852
1983-12-01	-1.0255239
1984-01-01	-0.67332083
1984-02-01	-0.1939586
1984-03-01	-0.5182584
1984-04-01	-0.68020874
1984-05-01	-0.7367273
1984-06-01	-0.90356165
1984-07-01	-0.5111139
1984-08-01	-0.252144
1984-09-01	-0.3417859
1984-10-01	-0.67850965
1984-11-01	-1.1843636
1984-12-01	-1.3407518
1985-01-01	-1.1593928
1985-02-01	-0.72675806
1985-03-01	-0.7910168
1985-04-01	-1.1727654
1985-05-01	-1.0273033
1985-06-01	-0.9169714
1985-07-01	-0.74330866
1985-08-01	-0.56203544
1985-09-01	-0.7014338
1985-10-01	-0.48974016
1985-11-01	-0.37715602
1985-12-01	-0.40904883
1986-01-01	-0.65936404
1986-02-01	-0.6984214
1986-03-01	-0.41289473
1986-04-01	-0.33170664
1986-05-01	-0.5274096
1986-06-01	-0.30405214
1986-07-01	-0.114943355
1986-08-01	0.3131215
1986-09-01	0.522444
1986-10-01	0.7974242
1986-11-01	1.0014179
1986-12-01	1.1131039
1987-01-01	1.1239675
1987-02-01	1.1259516
1987-03-01	0.97732323
1987-04-01	0.57410073
1987-05-01	0.62263346
1987-06-01	0.9133412
1987-07-01	1.2855629
1987-08-01	1.5574144
1987-09-01	1.6406002
1987-10-01	1.2351979
1987-11-01	1.0693743
1987-12-01	0.94197303
1988-01-01	0.8992586
1988-02-01	0.2734762
1988-03-01	0.093437016
1988-04-01	-0.44454786
1988-05-01	-1.2508287
1988-06-01	-1.7383789
1988-07-01	-1.7364502
1988-08-01	-1.1909693
1988-09-01	-1.0005556
1988-10-01	-1.8929185
1988-11-01	-2.046181
1988-12-01	-1.9614272
1989-01-01	-1.9613146
1989-02-01	-1.4713856
1989-03-01	-1.2088221
1989-04-01	-1.0734006
1989-05-01	-0.86930346
1989-06-01	-0.58546257
1989-07-01	-0.5777692
1989-08-01	-0.53229105
1989-09-01	-0.3039141
1989-10-01	-0.4022513
1989-11-01	-0.45339325
1989-12-01	-0.13660976
1990-01-01	0.0114794215
1990-02-01	0.21203046
1990-03-01	0.04401851
1990-04-01	0.07843606
1990-05-01	0.08255091
1990-06-01	-0.08329584
1990-07-01	0.088887565
1990-08-01	0.21847038
1990-09-01	0.2199718
1990-10-01	0.21629821
1990-11-01	0.10714316
