time	SOI
1980-01-01	-0.11348734
1980-02-01	0.03624602
1980-03-01	-0.9017655
1980-04-01	-1.4242156
1980-05-01	-0.6543093
1980-06-01	-0.7199342
1980-07-01	-0.82283413
1980-08-01	0.13963886
1980-09-01	-0.7520812
1980-10-01	-0.13931796
1980-11-01	-0.8080976
1980-12-01	-0.40830195
1981-01-01	0.22065592
1981-02-01	-0.2167108
1981-03-01	-1.6498046
1981-04-01	-0.18920687
1981-05-01	1.602541
1981-06-01	1.7475617
1981-07-01	1.2602834
1981-08-01	0.79313576
1981-09-01	0.6222646
1981-10-01	-0.25418136
1981-11-01	0.2357709
1981-12-01	0.32866824
1982-01-01	0.8119831
1982-02-01	0.00525804
1982-03-01	0.35543063
1982-04-01	-0.16474986
1982-05-01	-0.40800565
1982-06-01	-1.8227624
1982-07-01	-2.3959076
1982-08-01	-2.212593
1982-09-01	-2.0232608
1982-10-01	-1.738908
1982-11-01	-3.7632287
1982-12-01	-2.073522
1983-01-01	-2.8209944
1983-02-01	-2.736294
1983-03-01	-2.3148584
1983-04-01	-1.0334408
1983-05-01	1.002097
1983-06-01	0.09241056
1983-07-01	-0.6209389
1983-08-01	0.2320826
1983-09-01	1.1805187
1983-10-01	0.8175178
1983-11-01	0.004175776
1983-12-01	-0.09229815
1984-01-01	0.19050385
1984-02-01	0.6468376
1984-03-01	-0.46252552
1984-04-01	0.65849555
1984-05-01	1.000465
1984-06-01	-0.18727988
1984-07-01	0.70290464
1984-08-01	1.177312
1984-09-01	0.53518796
1984-10-01	-0.013491358
1984-11-01	0.48340386
1984-12-01	0.19104113
1985-01-01	-0.1656588
1985-02-01	1.2453337
1985-03-01	0.5756602
1985-04-01	1.2409859
1985-05-01	1.1726384
1985-06-01	-0.741931
1985-07-01	-0.44223845
1985-08-01	1.2128319
1985-09-01	-0.06011564
1985-10-01	-0.25257653
1985-11-01	-0.3501353
1985-12-01	0.012775017
1986-01-01	0.7820467
1986-02-01	-0.93201685
1986-03-01	0.404114
1986-04-01	0.39401203
1986-05-01	-0.08337681
1986-06-01	1.7213547
1986-07-01	0.3205665
1986-08-01	-0.46126407
1986-09-01	-0.4753332
1986-10-01	0.8796725
1986-11-01	-1.8386989
1986-12-01	-1.2967358
1987-01-01	-0.614816
1987-02-01	-1.0891789
1987-03-01	-1.3483925
1987-04-01	-1.5877374
1987-05-01	-1.8919171
1987-06-01	-1.5700561
1987-07-01	-2.0689409
1987-08-01	-0.8259285
1987-09-01	-1.0968599
1987-10-01	0.099572174
1987-11-01	-0.002617712
1987-12-01	-0.42663735
1988-01-01	-0.11510683
1988-02-01	-0.3444308
1988-03-01	0.41227484
1988-04-01	0.25671417
1988-05-01	2.3784654
1988-06-01	0.9709954
1988-07-01	1.7671291
1988-08-01	2.084714
1988-09-01	2.100204
1988-10-01	1.7008591
1988-11-01	2.0162995
1988-12-01	0.88573545
1989-01-01	1.3846697
1989-02-01	0.75066537
1989-03-01	0.87836117
1989-04-01	2.0251644
1989-05-01	2.7965608
1989-06-01	1.8141835
1989-07-01	1.4446939
1989-08-01	-0.12646201
1989-09-01	0.6635718
1989-10-01	1.0799681
1989-11-01	-0.41446066
1989-12-01	-0.5731667
1990-01-01	-0.04637848
1990-02-01	-1.5014474
1990-03-01	-0.48400217
1990-04-01	0.4231781
1990-05-01	2.5464609
1990-06-01	0.503994
1990-07-01	0.67585987
1990-08-01	-0.12559785
1990-09-01	-0.8192547
1990-10-01	0.15346694
1990-11-01	-0.61579895
1990-12-01	-0.26007304
1991-01-01	0.48977426
1991-02-01	0.059700288
1991-03-01	-0.76276904
1991-04-01	-0.81913227
1991-05-01	-1.7976758
1991-06-01	0.05912119
1991-07-01	0.13679771
1991-08-01	-0.25673628
1991-09-01	-1.4301296
1991-10-01	-0.891135
1991-11-01	-0.7366075
1991-12-01	-1.3394278
1992-01-01	-2.1780794
1992-02-01	-0.43339807
1992-03-01	-1.8921608
1992-04-01	-1.0907954
1992-05-01	1.0533835
1992-06-01	-0.67622584
1992-07-01	-0.6216777
1992-08-01	0.80670387
1992-09-01	0.3416656
1992-10-01	-1.366871
1992-11-01	-1.0489827
1992-12-01	-0.5911297
1993-01-01	-0.7229128
1993-02-01	-0.55505806
1993-03-01	-0.3353761
1993-04-01	-1.2252015
1993-05-01	-0.21456839
1993-06-01	-0.79892594
1993-07-01	-0.63468415
1993-08-01	-0.9346392
1993-09-01	-0.6297823
1993-10-01	-1.2310154
1993-11-01	0.14105329
1993-12-01	0.020889498
1994-01-01	-0.20021012
1994-02-01	0.24534766
1994-03-01	-0.7795581
1994-04-01	-1.3728884
1994-05-01	-0.790099
1994-06-01	-0.24998711
1994-07-01	-1.6205391
1994-08-01	-1.2800957
1994-09-01	-1.5920951
1994-10-01	-1.0092752
1994-11-01	-0.69906557
1994-12-01	-1.1740599
1995-01-01	-0.36945513
1995-02-01	-0.11585867
1995-03-01	0.5754535
1995-04-01	-0.6921175
1995-05-01	-0.25627235
1995-06-01	0.59263235
1995-07-01	0.9893754
1995-08-01	0.6133239
1995-09-01	0.42824027
1995-10-01	0.23381773
1995-11-01	0.16885316
1995-12-01	-0.67405474
1996-01-01	0.7668907
1996-02-01	0.089589305
1996-03-01	0.8825802
1996-04-01	1.0539922
1996-05-01	0.4870427
1996-06-01	2.1826255
1996-07-01	0.837934
1996-08-01	0.82568884
1996-09-01	0.6741711
1996-10-01	0.38873446
1996-11-01	-0.6003744
1996-12-01	0.60455847
1997-01-01	0.059145097
1997-02-01	1.1550194
1997-03-01	-0.8876351
1997-04-01	-1.2752843
1997-05-01	-1.9598426
1997-06-01	-2.234496
1997-07-01	-1.2846081
1997-08-01	-1.8663034
1997-09-01	-1.3584851
1997-10-01	-1.3655455
1997-11-01	-1.5579581
1997-12-01	-0.9052505
1998-01-01	-2.237174
1998-02-01	-1.6718622
1998-03-01	-2.4771602
1998-04-01	-1.5655493
1998-05-01	0.53521734
1998-06-01	1.7456229
1998-07-01	2.0379498
1998-08-01	1.615186
1998-09-01	1.1769023
1998-10-01	1.2224379
1998-11-01	0.7410048
1998-12-01	0.8996104
1999-01-01	1.2890983
1999-02-01	0.61259115
1999-03-01	0.9128194
1999-04-01	1.5137264
1999-05-01	0.31534606
1999-06-01	0.27545
1999-07-01	0.46103957
1999-08-01	0.23783177
1999-09-01	-0.14179029
1999-10-01	0.9268672
1999-11-01	0.9395943
1999-12-01	0.8770351
2000-01-01	0.24519335
2000-02-01	1.0552832
2000-03-01	1.0012496
2000-04-01	1.4698112
2000-05-01	0.35456336
2000-06-01	-0.63635063
2000-07-01	-0.6574594
2000-08-01	0.7779047
2000-09-01	0.84188634
2000-10-01	0.94986016
2000-11-01	2.1475952
2000-12-01	0.4366546
2001-01-01	0.54041976
2001-02-01	1.1595889
2001-03-01	0.4547113
2001-04-01	0.09711954
2001-05-01	-1.0376164
2001-06-01	0.4089936
2001-07-01	-0.65296906
2001-08-01	-0.7280255
2001-09-01	-0.019486608
2001-10-01	-0.1807433
2001-11-01	0.69386965
2001-12-01	-1.0793186
2002-01-01	0.17700212
2002-02-01	0.56603277
2002-03-01	-0.46307588
2002-04-01	-0.060970556
2002-05-01	-1.3938781
2002-06-01	-0.43798313
2002-07-01	-1.0780228
2002-08-01	-1.3549155
2002-09-01	-0.7566736
2002-10-01	-0.640309
2002-11-01	-1.030049
2002-12-01	-1.2701892
2003-01-01	-0.28731006
2003-02-01	-0.62805307
2003-03-01	-0.6075569
2003-04-01	-0.25210357
2003-05-01	-0.2078376
2003-06-01	-1.1232965
2003-07-01	0.3906382
2003-08-01	0.079837434
2003-09-01	-0.2817739
2003-10-01	-0.0653329
2003-11-01	-0.59929025
2003-12-01	0.80361474
2004-01-01	-1.2035642
2004-02-01	0.81001264
2004-03-01	0.14485818
2004-04-01	-1.1364505
2004-05-01	2.094892
2004-06-01	-1.4356769
2004-07-01	-0.94736534
2004-08-01	-0.5291735
2004-09-01	-0.49889544
2004-10-01	-0.053589396
2004-11-01	-1.3791074
2004-12-01	-0.87734914
2005-01-01	0.21956953
2005-02-01	-2.3627613
2005-03-01	0.17533635
2005-04-01	-0.70734084
2005-05-01	-0.90889716
2005-06-01	0.8918396
2005-07-01	0.1685295
2005-08-01	-0.43574914
2005-09-01	0.362925
2005-10-01	1.3287545
2005-11-01	-0.66097814
2005-12-01	-0.20370439
2006-01-01	1.2629784
2006-02-01	0.046436448
2006-03-01	1.4462135
2006-04-01	1.3674885
2006-05-01	-0.68622166
2006-06-01	-0.3801267
2006-07-01	-1.0105861
2006-08-01	-1.1864092
2006-09-01	-0.5757163
2006-10-01	-1.3279041
2006-11-01	0.18156046
2006-12-01	-0.47472906
2007-01-01	-0.67437005
2007-02-01	-0.1274579
2007-03-01	0.07229017
2007-04-01	-0.06799826
2007-05-01	0.21260147
2007-06-01	0.8647453
