time	TNA
1980-01-01	0.11925011
1980-02-01	0.15218149
1980-03-01	0.0032753996
1980-04-01	0.31184387
1980-05-01	0.4369011
1980-06-01	0.19192624
1980-07-01	-0.21416014
1980-08-01	-0.12845004
1980-09-01	-0.112906866
1980-10-01	-0.38752353
1980-11-01	-0.39057228
1980-12-01	-0.406621
1981-01-01	-0.033094008
1981-02-01	-0.20105772
1981-03-01	0.461282
1981-04-01	0.09081221
1981-05-01	0.037575178
1981-06-01	-0.11535588
1981-07-01	-0.16911884
1981-08-01	-0.3623513
1981-09-01	-0.3687905
1981-10-01	-0.50437236
1981-11-01	-0.17694373
1981-12-01	0.028256806
1982-01-01	-0.08177035
1982-02-01	-0.3355155
1982-03-01	-0.20289259
1982-04-01	-0.40600532
1982-05-01	-0.23056811
1982-06-01	-0.24277982
1982-07-01	-0.33767048
1982-08-01	-0.61273557
1982-09-01	-0.5607467
1982-10-01	-0.7373515
1982-11-01	-0.8037306
1982-12-01	-0.83052164
1983-01-01	-0.58510494
1983-02-01	-0.08216245
1983-03-01	0.45829394
1983-04-01	0.5361936
1983-05-01	0.037689958
1983-06-01	0.042592786
1983-07-01	-0.25861284
1983-08-01	-0.39782912
1983-09-01	-0.37127686
1983-10-01	-0.5625026
1983-11-01	-0.26780072
1983-12-01	0.0016518665
1984-01-01	-0.35821807
1984-02-01	-0.31277856
1984-03-01	-0.382425
1984-04-01	-0.48688906
1984-05-01	-0.35508838
1984-06-01	-0.5946142
1984-07-01	-0.5581412
1984-08-01	-0.47765085
1984-09-01	-0.47244793
1984-10-01	-0.6999721
1984-11-01	-0.72332126
1984-12-01	-0.63438946
1985-01-01	-0.66665435
1985-02-01	-0.57058513
1985-03-01	-0.8765531
1985-04-01	-0.96788955
1985-05-01	-1.0675367
1985-06-01	-0.4962291
1985-07-01	-0.25836065
1985-08-01	-0.26501846
1985-09-01	-0.4830681
1985-10-01	-0.5303134
1985-11-01	-0.35549417
1985-12-01	-0.49789906
1986-01-01	-0.8946082
1986-02-01	-0.7989658
1986-03-01	-0.83818877
1986-04-01	-0.82830656
1986-05-01	-0.7655676
1986-06-01	-0.7080172
1986-07-01	-0.56042945
1986-08-01	-0.6682932
1986-09-01	-0.46202895
1986-10-01	-0.6312021
1986-11-01	-0.68526995
1986-12-01	-0.9936179
1987-01-01	-0.564407
1987-02-01	-0.4363941
1987-03-01	0.059542656
1987-04-01	0.22225013
1987-05-01	0.28551552
1987-06-01	0.49940175
1987-07-01	0.16613142
1987-08-01	0.30516088
1987-09-01	-0.007775194
1987-10-01	0.14570333
1987-11-01	0.12145851
1987-12-01	0.38981998
1988-01-01	-0.11932989
1988-02-01	-0.23476008
1988-03-01	0.10648243
1988-04-01	0.30510148
1988-05-01	0.11118203
1988-06-01	0.24176817
1988-07-01	0.19978058
1988-08-01	-0.21073686
1988-09-01	-0.278583
1988-10-01	-0.48731098
1988-11-01	-0.40065086
1988-12-01	-0.3778738
1989-01-01	-0.4352233
1989-02-01	-0.4018348
1989-03-01	-0.65204984
1989-04-01	-0.91884947
1989-05-01	-0.7597428
1989-06-01	-0.37110654
1989-07-01	0.06304228
1989-08-01	0.25744703
1989-09-01	-0.27651888
1989-10-01	-0.29714802
1989-11-01	-0.34623104
1989-12-01	-0.0055827172
1990-01-01	-0.39676827
1990-02-01	-0.07735326
1990-03-01	0.039841857
1990-04-01	0.09695983
1990-05-01	0.032236416
1990-06-01	-0.22563787
1990-07-01	-0.05492515
1990-08-01	-0.013563639
1990-09-01	0.11994634
1990-10-01	0.07900246
1990-11-01	-0.008053493
1990-12-01	-0.18128352
1991-01-01	-0.2977929
1991-02-01	-0.21336393
1991-03-01	-0.523193
1991-04-01	-0.5281367
1991-05-01	-0.60872644
1991-06-01	-0.5299832
1991-07-01	-0.6592208
1991-08-01	-0.6912233
1991-09-01	-0.40781885
1991-10-01	-0.5266285
1991-11-01	-0.4645295
1991-12-01	-0.41033688
1992-01-01	-0.13598122
1992-02-01	-0.13898636
1992-03-01	-0.32740352
